CountryName,imo2015_tasks_done,GDP,population,high_tech_exports,migration,gov_educ_expenditure,area,prob_of_death,internet_user_percentage,gross_enrollment_ratio,unemployment_rate
Albania,37,11386850129.8411,2880703,16607486,-12240,0.0343796992301941,28750,0.024,0.569,0.620076217651367,0.171900005340576
Argentina,70,594749285413.212,43131966,1475175631,5522,0.0577611017227173,2780400,0.05,0.6804306411,0.840019989013672,0.0752400016784668
Armenia,104,10553337672.9872,2878595,11860132,-27283,0.0280591011047363,29740,0.03,0.5910083377,0.46521800994873,0.121770000457764
Australia,148,1350615691821.28,23815995,5089628319,209466,0.0531583976745605,7741220,0.02,0.8456051491,1.18610862731934,0.0605000019073486
Austria,63,381971148530.543,8642699,18084508523,115125,0.0545658016204834,83879,0.019,0.8394014193,0.807194213867188,0.0571999979019165
Azerbaijan,73,53074370486.0433,9649341,13926421,1084,0.0295167994499207,86600,0.035,0.77,0.254832000732422,0.0496000003814697
Belgium,67,462335574841.484,11274196,22551602141,57008,0.064515700340271,30530,0.02,0.8505294175,0.745597610473633,0.0847999954223633
Bangladesh,97,195078678697.23,157830000,93607707,-286512,0.0187225413322449,147630,0.047,0.129,0.137874097824097,0.0437099981307983
Bulgaria,100,50781996712.7635,7177991,1185637796,-15356,0.0392179489135742,111000,0.031,0.5665625161,0.703015365600586,0.0914000034332275
Belarus,84,56454734396.5842,9461076,577131802,13681,0.0478751993179321,207600,0.037,0.6223036091,0.895671615600586,0.0583799982070923
Brazil,109,1802214373741.32,205188205,9433008382,4764,0.0624105978012085,8515770,0.082,0.5832795173,0.513200416564941,0.085600004196167
Botswana,1,13530738157.7648,2305171,37475913,2145,0.0780650997161865,581730,0.081,0.3731205037,0.302393398284912,0.19298999786377
Canada,140,1556508816217.14,35702908,28241567521,232738,0.047393798828125,9879750,0.026,0.9,0.647869567871094,0.0690999984741211
Colombia,72,293481753078.868,47119728,823794430,-41064,0.0447038984298706,1141749,0.069,0.5590497251,0.532821388244629,0.0830000019073486
Costa Rica,53,56441917652.9812,4895242,869820756,4065,0.0687349987030029,51100,0.044,0.5976295014,0.530526313781738,0.0842000007629395
Cyprus,58,19909190058.804,1187280,55564490,4655,0.0632612991333008,9251,0.02,0.7171574092,0.601012306213379,0.149099998474121
Ecuador,27,99290381000,16195902,103054631,14740,0.0499870014190674,256370,0.056,0.4894043379,0.448922309875488,0.0361999988555908
Spain,47,1196156971279.69,46444832,13109480801,-871,0.0428657007217407,505924,0.013,0.7868963187,0.856117782592773,0.220599994659424
Estonia,51,22890762090.1508,1315407,2052941145,4308,0.0514418983459473,45340,0.032,0.884097035,0.721676177978516,0.0640999984741211
Finland,26,234534382384.766,5479531,4250872228,12433,0.0703208017349243,338446,0.025,0.8642213333,0.876798706054688,0.0938000011444092
France,120,2439188643162.5,66548272,109607526938,18807,0.0546423482894897,549087,0.02,0.7800603771,0.627859306335449,0.103500003814697
Georgia,80,14953950557.4406,3725276,34242243,-13317,0.0316487002372742,69700,0.043,0.4756975964,0.46481128692627,0.165100002288818
Ghana,5,49406568432.6711,28870939,89337078,-13308,0.044340500831604,238540,0.081,0.23,0.15690710067749,0.0680999994277954
Croatia,119,50242783066.1173,4203604,915710065,-13408,0.0493153858184814,88073,0.021,0.6984503592,0.664910202026367,0.161800003051758
Hungary,113,125174166987.372,9843028,14668165090,14166,0.0449410009384155,93030,0.02,0.7283473703,0.489621391296387,0.0680999994277954
Indonesia,100,860854235065.079,259091970,5889536968,-37991,0.0358360004425049,1913580,0.054,0.220627426,0.332507209777832,0.0451000022888184
India,86,2103587813812.75,1322866505,14583513323,-475094,0.0411457014083862,3287260,0.068,0.149,0.267689933776855,0.0791499996185303
Ireland,37,291775166506.891,4701957,30615408083,13130,0.0375876998901367,70280,0.021,0.8349479167,0.772321472167969,0.0990999984741211
Iceland,41,17517210519.0912,330815,111536291,1477,0.074579701423645,103000,0.017,0.982,0.757660598754883,0.0398000001907349
Israel,83,303414276832.04,8380100,13753939000,12049,0.0586211013793945,22070,0.018,0.7735208966,0.654868927001953,0.0525
Italy,100,1836637711060.55,60730582,30088406455,34031,0.0407362985610962,302069,0.016,0.5814173496,0.609394607543945,0.118999996185303
Japan,109,4444930651964.18,127141000,98249840020,150215,0.0326981973648071,377971,0.018,0.9105802839,0.632509803771973,0.0339000010490417
Kazakhstan,105,184388432148.715,17542806,2855226726,-12253,0.027885799407959,2724902,0.05,0.708299336,0.463735084533691,0.0492999982833862
Cambodia,24,18049954289.4229,15417523,121425753,-52272,0.0192503559589386,181040,0.05,0.18,0.131356296539307,0.00389999985694885
Sri Lanka,51,85140963536.633,20970000,63227843,-98598,0.0222874999046326,65610,0.032,0.121,0.197583694458008,0.0451999998092651
